col11, col12, col13, col21, col22, col23
62, 19, 78, 86, 19, 88
54, 68, 88, 32, 68, 15
12, 68, 3, 32, 68, 15
21, 68, 21, 32, 68, 15
55, 82, 20, 28, 82, 87
57, 61, 20, 2, 61, 85
25, 61, 55, 2, 61, 85
35, 61, 77, 2, 61, 85
54, 57, 13, 28, 57, 32
55, 82, 20, 9, 82, 16
22, 96, 23, 2, 96, 93
21, 15, 71, 77, 15, 10
80, 39, 23, 76, 39, 49
2, 39, 28, 76, 39, 49
40, 39, 96, 76, 39, 49
39, 42, 72, 29, 42, 6
80, 39, 23, 27, 39, 94
2, 39, 28, 27, 39, 94
40, 39, 96, 27, 39, 94
14, 43, 20, 19, 43, 33
50, 43, 92, 19, 43, 33
77, 43, 74, 19, 43, 33
57, 61, 20, 57, 61, 14
25, 61, 55, 57, 61, 14
35, 61, 77, 57, 61, 14
99, 60, 45, 80, 60, 51
54, 68, 88, 41, 68, 72
12, 68, 3, 41, 68, 72
21, 68, 21, 41, 68, 72
11, 1, 4, 84, 1, 65
27, 23, 89, 5, 23, 30
34, 20, 81, 15, 20, 85
8, 20, 90, 15, 20, 85
8, 11, 54, 67, 11, 61
43, 11, 38, 67, 11, 61
12, 35, 34, 96, 35, 36
95, 85, 42, 23, 85, 91
74, 80, 20, 39, 80, 36
51, 63, 23, 23, 63, 42
16, 56, 36, 17, 56, 46
98, 4, 48, 78, 4, 7
22, 55, 51, 76, 55, 1
32, 45, 71, 96, 45, 71
43, 27, 90, 60, 27, 12
65, 40, 59, 2, 40, 56
98, 4, 48, 31, 4, 33
98, 2, 71, 31, 2, 1
35, 14, 14, 81, 14, 15
62, 19, 78, 1, 19, 95
80, 88, 8, 60, 88, 44
34, 53, 71, 10, 53, 39
50, 78, 65, 84, 78, 86
35, 84, 86, 82, 84, 44
23, 89, 31, 13, 89, 88
30, 89, 63, 13, 89, 88
30, 31, 71, 17, 31, 16
11, 1, 4, 81, 1, 86
51, 63, 23, 84, 63, 82
94, 67, 86, 53, 67, 48
69, 25, 69, 68, 25, 80
62, 19, 78, 45, 19, 16
